ts_now;ts_simulator;node;consumption;production
2021-12-16 16:36:06;2020-10-14 06:00:00;ip-172-20-45-201.ec2.internal;171;
2021-12-16 16:36:06;2020-10-14 06:00:00;ip-172-20-49-41.ec2.internal;134;568.6
2021-12-16 16:36:06;2020-10-14 06:00:00;ip-172-20-58-134.ec2.internal;161;66.7
2021-12-16 16:36:06;2020-10-14 06:00:00;ip-172-20-61-178.ec2.internal;194;881.0
2021-12-16 16:36:11;2020-10-14 06:00:00;ip-172-20-45-201.ec2.internal;171;
2021-12-16 16:36:11;2020-10-14 06:00:00;ip-172-20-49-41.ec2.internal;134;568.6
2021-12-16 16:36:11;2020-10-14 06:00:00;ip-172-20-58-134.ec2.internal;161;66.7
2021-12-16 16:36:11;2020-10-14 06:00:00;ip-172-20-61-178.ec2.internal;194;881.0
2021-12-16 16:36:17;2020-10-14 06:00:00;ip-172-20-45-201.ec2.internal;171;
2021-12-16 16:36:17;2020-10-14 06:00:00;ip-172-20-49-41.ec2.internal;134;568.6
2021-12-16 16:36:17;2020-10-14 06:00:00;ip-172-20-58-134.ec2.internal;161;66.7
2021-12-16 16:36:17;2020-10-14 06:00:00;ip-172-20-61-178.ec2.internal;194;881.0
2021-12-16 16:36:23;2020-10-14 06:00:00;ip-172-20-45-201.ec2.internal;139;
2021-12-16 16:36:23;2020-10-14 06:00:00;ip-172-20-49-41.ec2.internal;100;568.6
2021-12-16 16:36:23;2020-10-14 06:00:00;ip-172-20-58-134.ec2.internal;2516;66.7
2021-12-16 16:36:23;2020-10-14 06:00:00;ip-172-20-61-178.ec2.internal;162;881.0
2021-12-16 16:36:28;2020-10-14 06:00:00;ip-172-20-45-201.ec2.internal;139;
2021-12-16 16:36:28;2020-10-14 06:00:00;ip-172-20-49-41.ec2.internal;100;568.6
2021-12-16 16:36:28;2020-10-14 06:00:00;ip-172-20-58-134.ec2.internal;2516;66.7
2021-12-16 16:36:28;2020-10-14 06:00:00;ip-172-20-61-178.ec2.internal;162;881.0
2021-12-16 16:36:34;2020-10-14 06:00:00;ip-172-20-45-201.ec2.internal;164;
2021-12-16 16:36:34;2020-10-14 06:00:00;ip-172-20-49-41.ec2.internal;122;568.6
2021-12-16 16:36:34;2020-10-14 06:00:00;ip-172-20-58-134.ec2.internal;2123;66.7
2021-12-16 16:36:34;2020-10-14 06:00:00;ip-172-20-61-178.ec2.internal;195;881.0
