ts_now;ts_simulator;node;consumption;production
2021-12-17 13:54:04;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;157;
2021-12-17 13:54:04;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;137;436.8
2021-12-17 13:54:04;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;154;467.0
2021-12-17 13:54:04;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;178;261.0
2021-12-17 13:54:09;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;157;
2021-12-17 13:54:09;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;137;436.8
2021-12-17 13:54:09;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;154;467.0
2021-12-17 13:54:09;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;178;261.0
2021-12-17 13:54:15;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;157;
2021-12-17 13:54:15;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;137;436.8
2021-12-17 13:54:15;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;154;467.0
2021-12-17 13:54:15;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;178;261.0
2021-12-17 13:54:21;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;137;
2021-12-17 13:54:21;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;110;436.8
2021-12-17 13:54:21;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;142;467.0
2021-12-17 13:54:21;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;188;261.0
2021-12-17 13:54:27;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;137;
2021-12-17 13:54:27;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;110;436.8
2021-12-17 13:54:27;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;142;467.0
2021-12-17 13:54:27;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;188;261.0
2021-12-17 13:54:32;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;137;
2021-12-17 13:54:32;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;110;436.8
2021-12-17 13:54:32;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;142;467.0
2021-12-17 13:54:32;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;188;261.0
2021-12-17 13:54:38;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2335;
2021-12-17 13:54:38;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;129;436.8
2021-12-17 13:54:38;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;173;467.0
2021-12-17 13:54:38;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;163;261.0
2021-12-17 13:54:44;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2335;
2021-12-17 13:54:44;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;129;436.8
2021-12-17 13:54:44;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;173;467.0
2021-12-17 13:54:44;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;163;261.0
2021-12-17 13:54:49;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2122;
2021-12-17 13:54:49;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;101;436.8
2021-12-17 13:54:49;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;165;467.0
2021-12-17 13:54:49;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;201;261.0
2021-12-17 13:54:55;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2122;
2021-12-17 13:54:55;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;101;436.8
2021-12-17 13:54:55;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;165;467.0
2021-12-17 13:54:55;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;201;261.0
2021-12-17 13:55:00;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2122;
2021-12-17 13:55:00;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;101;436.8
2021-12-17 13:55:00;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;165;467.0
2021-12-17 13:55:00;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;201;261.0
2021-12-17 13:55:06;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2145;
2021-12-17 13:55:06;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;142;436.8
2021-12-17 13:55:06;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;130;467.0
2021-12-17 13:55:06;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;190;261.0
2021-12-17 13:55:12;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2145;
2021-12-17 13:55:12;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;142;436.8
2021-12-17 13:55:12;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;130;467.0
2021-12-17 13:55:12;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;190;261.0
2021-12-17 13:55:17;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2145;
2021-12-17 13:55:17;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;142;436.8
2021-12-17 13:55:17;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;130;467.0
2021-12-17 13:55:17;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;190;261.0
2021-12-17 13:55:23;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2120;
2021-12-17 13:55:23;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;121;436.8
2021-12-17 13:55:23;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;156;467.0
2021-12-17 13:55:23;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;193;261.0
2021-12-17 13:55:29;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2120;
2021-12-17 13:55:29;2020-12-25 12:00:00;ip-172-20-49-41.ec2.internal;121;436.8
2021-12-17 13:55:29;2020-12-25 12:00:00;ip-172-20-58-134.ec2.internal;156;467.0
2021-12-17 13:55:29;2020-12-25 12:00:00;ip-172-20-61-178.ec2.internal;193;261.0
2021-12-17 13:55:34;2020-12-25 12:00:00;ip-172-20-45-201.ec2.internal;2133;
