ts_now;ts_simulator;node;consumption;production
2021-12-19 16:36:11;2020-08-01 12:00:00;ip-172-20-45-201.ec2.internal;175;
2021-12-19 16:36:11;2020-08-01 12:00:00;ip-172-20-49-41.ec2.internal;123;5144.3
2021-12-19 16:36:11;2020-08-01 12:00:00;ip-172-20-58-134.ec2.internal;144;8473.4
2021-12-19 16:36:11;2020-08-01 12:00:00;ip-172-20-61-178.ec2.internal;192;100.4
2021-12-19 16:36:18;2020-08-01 12:00:00;ip-172-20-45-201.ec2.internal;175;
2021-12-19 16:36:18;2020-08-01 12:00:00;ip-172-20-49-41.ec2.internal;123;5144.3
2021-12-19 16:36:18;2020-08-01 12:00:00;ip-172-20-58-134.ec2.internal;144;8473.4
2021-12-19 16:36:18;2020-08-01 12:00:00;ip-172-20-61-178.ec2.internal;192;100.4
2021-12-19 16:36:23;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;145;
2021-12-19 16:36:23;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;123;3163.3
2021-12-19 16:36:23;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;143;5104.1
2021-12-19 16:36:23;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;195;168.1
2021-12-19 16:36:29;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;145;
2021-12-19 16:36:29;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;123;3163.3
2021-12-19 16:36:29;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;143;5104.1
2021-12-19 16:36:29;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;195;168.1
2021-12-19 16:36:36;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;166;
2021-12-19 16:36:36;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;112;3163.3
2021-12-19 16:36:36;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;172;5104.1
2021-12-19 16:36:36;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;174;168.1
2021-12-19 16:36:42;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;166;
2021-12-19 16:36:42;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;112;3163.3
2021-12-19 16:36:42;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;172;5104.1
2021-12-19 16:36:42;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;174;168.1
2021-12-19 16:36:48;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;154;
2021-12-19 16:36:48;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;107;3163.3
2021-12-19 16:36:48;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;153;5104.1
2021-12-19 16:36:48;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;186;168.1
2021-12-19 16:36:54;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;154;
2021-12-19 16:36:54;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;107;3163.3
2021-12-19 16:36:54;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;153;5104.1
2021-12-19 16:36:54;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;186;168.1
2021-12-19 16:37:00;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;154;
2021-12-19 16:37:00;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;107;3163.3
2021-12-19 16:37:00;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;153;5104.1
2021-12-19 16:37:00;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;186;168.1
2021-12-19 16:37:06;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;176;
2021-12-19 16:37:06;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;123;3163.3
2021-12-19 16:37:06;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;171;5104.1
2021-12-19 16:37:06;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;178;168.1
2021-12-19 16:37:12;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;176;
2021-12-19 16:37:12;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;123;3163.3
2021-12-19 16:37:12;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;171;5104.1
2021-12-19 16:37:12;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;178;168.1
2021-12-19 16:37:18;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;144;
2021-12-19 16:37:18;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;132;3163.3
2021-12-19 16:37:18;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;147;5104.1
2021-12-19 16:37:18;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;183;168.1
2021-12-19 16:37:24;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;144;
2021-12-19 16:37:24;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;132;3163.3
2021-12-19 16:37:24;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;147;5104.1
2021-12-19 16:37:24;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;183;168.1
2021-12-19 16:37:30;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;144;
2021-12-19 16:37:30;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;132;3163.3
2021-12-19 16:37:30;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;147;5104.1
2021-12-19 16:37:30;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;183;168.1
2021-12-19 16:37:36;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;142;
2021-12-19 16:37:36;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;111;3335.0
2021-12-19 16:37:36;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;149;5504.4
2021-12-19 16:37:36;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;171;53.9
2021-12-19 16:37:42;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;142;
2021-12-19 16:37:42;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;111;3335.0
2021-12-19 16:37:42;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;149;5504.4
2021-12-19 16:37:42;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;171;53.9
2021-12-19 16:37:48;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;161;
2021-12-19 16:37:48;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;1109;3335.0
2021-12-19 16:37:48;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;147;5504.4
2021-12-19 16:37:48;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;193;53.9
2021-12-19 16:37:54;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;161;
2021-12-19 16:37:54;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;1109;3335.0
2021-12-19 16:37:54;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;147;5504.4
2021-12-19 16:37:54;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;193;53.9
2021-12-19 16:37:59;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;161;
2021-12-19 16:37:59;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;1109;3335.0
2021-12-19 16:37:59;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;147;5504.4
2021-12-19 16:37:59;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;193;53.9
2021-12-19 16:38:06;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;162;
2021-12-19 16:38:06;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2131;3335.0
2021-12-19 16:38:06;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;168;5504.4
2021-12-19 16:38:06;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;190;53.9
2021-12-19 16:38:12;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;162;
2021-12-19 16:38:12;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2131;3335.0
2021-12-19 16:38:12;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;168;5504.4
2021-12-19 16:38:12;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;190;53.9
2021-12-19 16:38:18;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;158;
2021-12-19 16:38:18;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2144;3335.0
2021-12-19 16:38:18;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;139;5504.4
2021-12-19 16:38:18;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;161;53.9
2021-12-19 16:38:24;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;158;
2021-12-19 16:38:24;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2144;3335.0
2021-12-19 16:38:24;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;139;5504.4
2021-12-19 16:38:24;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;161;53.9
2021-12-19 16:38:30;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;158;
2021-12-19 16:38:30;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2144;3335.0
2021-12-19 16:38:30;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;139;5504.4
2021-12-19 16:38:30;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;161;53.9
2021-12-19 16:38:36;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;145;
2021-12-19 16:38:36;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2101;3335.0
2021-12-19 16:38:36;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;165;5504.4
2021-12-19 16:38:36;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;176;53.9
2021-12-19 16:38:42;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;145;
2021-12-19 16:38:42;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2101;3335.0
2021-12-19 16:38:42;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;165;5504.4
2021-12-19 16:38:42;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;176;53.9
2021-12-19 16:38:48;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;145;
2021-12-19 16:38:48;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2101;3335.0
2021-12-19 16:38:48;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;165;5504.4
2021-12-19 16:38:48;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;176;53.9
2021-12-19 16:38:53;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;146;
2021-12-19 16:38:53;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2120;3335.0
2021-12-19 16:38:53;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;148;5504.4
2021-12-19 16:38:53;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;165;53.9
2021-12-19 16:38:59;2020-08-01 08:00:00;ip-172-20-45-201.ec2.internal;146;
2021-12-19 16:38:59;2020-08-01 08:00:00;ip-172-20-49-41.ec2.internal;2120;3335.0
2021-12-19 16:38:59;2020-08-01 08:00:00;ip-172-20-58-134.ec2.internal;148;5504.4
2021-12-19 16:38:59;2020-08-01 08:00:00;ip-172-20-61-178.ec2.internal;165;53.9
2021-12-19 16:39:05;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;180;
2021-12-19 16:39:05;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2113;3708.4
2021-12-19 16:39:05;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;152;6138.2
2021-12-19 16:39:05;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;191;42.4
2021-12-19 16:39:11;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;180;
2021-12-19 16:39:11;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2113;3708.4
2021-12-19 16:39:11;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;152;6138.2
2021-12-19 16:39:11;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;191;42.4
2021-12-19 16:39:17;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;180;
2021-12-19 16:39:17;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2113;3708.4
2021-12-19 16:39:17;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;152;6138.2
2021-12-19 16:39:17;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;191;42.4
2021-12-19 16:39:23;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;155;
2021-12-19 16:39:23;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2117;3708.4
2021-12-19 16:39:23;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;161;6138.2
2021-12-19 16:39:23;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;199;42.4
2021-12-19 16:39:29;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;155;
2021-12-19 16:39:29;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2117;3708.4
2021-12-19 16:39:29;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;161;6138.2
2021-12-19 16:39:29;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;199;42.4
2021-12-19 16:39:35;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;159;
2021-12-19 16:39:35;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2145;3708.4
2021-12-19 16:39:35;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;133;6138.2
2021-12-19 16:39:35;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;161;42.4
2021-12-19 16:39:41;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;159;
2021-12-19 16:39:41;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2145;3708.4
2021-12-19 16:39:41;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;133;6138.2
2021-12-19 16:39:41;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;161;42.4
2021-12-19 16:39:47;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;159;
2021-12-19 16:39:47;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2145;3708.4
2021-12-19 16:39:47;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;133;6138.2
2021-12-19 16:39:47;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;161;42.4
2021-12-19 16:39:52;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;154;
2021-12-19 16:39:52;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2116;3708.4
2021-12-19 16:39:52;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;162;6138.2
2021-12-19 16:39:52;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;177;42.4
2021-12-19 16:39:58;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;154;
2021-12-19 16:39:58;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2116;3708.4
2021-12-19 16:39:58;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;162;6138.2
2021-12-19 16:39:58;2020-08-01 08:10:00;ip-172-20-61-178.ec2.internal;177;42.4
2021-12-19 16:40:04;2020-08-01 08:10:00;ip-172-20-45-201.ec2.internal;184;
2021-12-19 16:40:04;2020-08-01 08:10:00;ip-172-20-49-41.ec2.internal;2142;3708.4
2021-12-19 16:40:04;2020-08-01 08:10:00;ip-172-20-58-134.ec2.internal;158;6138.2
