I1219 15:37:36.500362       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 15:37:36.583278       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-kxxcf
I1219 15:37:36.583377       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-kxxcf
I1219 15:37:36.583609       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kxxcf on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1219 15:37:36.583791       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1219 15:37:36.583679       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kxxcf on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 15:37:36.583698       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kxxcf on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 15:37:36.583753       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kxxcf on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 1 out of 110 Pods.
I1219 15:37:36.583770       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-kxxcf on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 15:37:36.586583       1 resource_allocation.go:84] green-k8s-test-65bb774986-kxxcf -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1219 15:37:36.586770       1 resource_allocation.go:84] green-k8s-test-65bb774986-kxxcf -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1219 15:37:36.586889       1 resource_allocation.go:84] green-k8s-test-65bb774986-kxxcf -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:250 memory:419430400] ,score 9,
I1219 15:37:36.587048       1 resource_allocation.go:84] green-k8s-test-65bb774986-kxxcf -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:250 memory:419430400] ,score 7,
I1219 15:37:36.587195       1 resource_allocation.go:84] green-k8s-test-65bb774986-kxxcf -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 9,
I1219 15:37:36.589067       1 resource_allocation.go:84] green-k8s-test-65bb774986-kxxcf -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 6,
I1219 15:37:36.586538       1 resource_allocation.go:84] green-k8s-test-65bb774986-kxxcf -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1219 15:37:36.589370       1 resource_allocation.go:84] green-k8s-test-65bb774986-kxxcf -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1219 15:37:36.589630       1 selector_spreading.go:146] green-k8s-test-65bb774986-kxxcf -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (10)
I1219 15:37:36.589748       1 selector_spreading.go:146] green-k8s-test-65bb774986-kxxcf -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (10)
I1219 15:37:36.589884       1 selector_spreading.go:146] green-k8s-test-65bb774986-kxxcf -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (10)
I1219 15:37:36.624662       1 selector_spreading.go:146] green-k8s-test-65bb774986-kxxcf -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (10)
I1219 15:37:36.624695       1 generic_scheduler.go:773] green-k8s-test-65bb774986-kxxcf_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1219 15:37:36.624704       1 generic_scheduler.go:773] green-k8s-test-65bb774986-kxxcf_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1219 15:37:36.624713       1 generic_scheduler.go:773] green-k8s-test-65bb774986-kxxcf_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1219 15:37:36.625052       1 generic_scheduler.go:773] green-k8s-test-65bb774986-kxxcf_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1219 15:37:36.625155       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 26
I1219 15:37:36.625171       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 26
I1219 15:37:36.625177       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 27
I1219 15:37:36.625182       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 26
I1219 15:37:36.625351       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-kxxcf", node "ip-172-20-49-41.ec2.internal"
I1219 15:37:36.625374       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-kxxcf", node "ip-172-20-49-41.ec2.internal": all PVCs bound and nothing to do
I1219 15:37:36.625486       1 factory.go:610] Attempting to bind green-k8s-test-65bb774986-kxxcf to ip-172-20-49-41.ec2.internal


### Pod 2 ###

I1219 15:42:06.215855       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 15:42:07.011107       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-gvncb
I1219 15:42:07.012143       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-gvncb
I1219 15:42:07.013005       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-gvncb on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1219 15:42:07.013679       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1219 15:42:07.014459       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-gvncb on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 15:42:07.015071       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-gvncb on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 15:42:07.015715       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-gvncb on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 15:42:07.016330       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-gvncb on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 15:42:07.020418       1 resource_allocation.go:84] green-k8s-test-65bb774986-gvncb -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1219 15:42:07.021126       1 resource_allocation.go:84] green-k8s-test-65bb774986-gvncb -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1219 15:42:07.021822       1 resource_allocation.go:84] green-k8s-test-65bb774986-gvncb -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1219 15:42:07.022563       1 resource_allocation.go:84] green-k8s-test-65bb774986-gvncb -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1219 15:42:07.024671       1 resource_allocation.go:84] green-k8s-test-65bb774986-gvncb -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 9,
I1219 15:42:07.025529       1 resource_allocation.go:84] green-k8s-test-65bb774986-gvncb -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 6,
I1219 15:42:07.026411       1 resource_allocation.go:84] green-k8s-test-65bb774986-gvncb -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 9,
