ts_now;ts_simulator;node;consumption;production
2021-12-20 20:34:58;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;158;
2021-12-20 20:34:58;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;106;3163.3
2021-12-20 20:34:58;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;172;5104.1
2021-12-20 20:34:58;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;170;168.1
2021-12-20 20:35:04;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;153;
2021-12-20 20:35:04;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;138;3163.3
2021-12-20 20:35:04;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;139;5104.1
2021-12-20 20:35:04;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;197;168.1
2021-12-20 20:35:09;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;153;
2021-12-20 20:35:09;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;138;3163.3
2021-12-20 20:35:09;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;139;5104.1
2021-12-20 20:35:09;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;197;168.1
2021-12-20 20:35:15;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;153;
2021-12-20 20:35:15;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;138;3163.3
2021-12-20 20:35:15;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;139;5104.1
2021-12-20 20:35:15;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;197;168.1
2021-12-20 20:35:21;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;161;
2021-12-20 20:35:21;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;110;3163.3
2021-12-20 20:35:21;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;156;5104.1
2021-12-20 20:35:21;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;195;168.1
2021-12-20 20:35:26;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;161;
2021-12-20 20:35:26;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;110;3163.3
2021-12-20 20:35:26;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;156;5104.1
2021-12-20 20:35:26;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;195;168.1
2021-12-20 20:35:32;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;161;
2021-12-20 20:35:32;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;110;3163.3
2021-12-20 20:35:32;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;156;5104.1
2021-12-20 20:35:32;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;195;168.1
2021-12-20 20:35:38;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;161;
2021-12-20 20:35:38;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;114;3163.3
2021-12-20 20:35:38;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;168;5104.1
2021-12-20 20:35:38;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;171;168.1
2021-12-20 20:35:43;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;161;
2021-12-20 20:35:43;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;114;3163.3
2021-12-20 20:35:43;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;168;5104.1
2021-12-20 20:35:43;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;171;168.1
2021-12-20 20:35:49;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;173;
2021-12-20 20:35:49;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;111;3163.3
2021-12-20 20:35:49;2020-08-01 07:50:00;ip-172-20-58-134.ec2.internal;149;5104.1
2021-12-20 20:35:49;2020-08-01 07:50:00;ip-172-20-61-178.ec2.internal;185;168.1
2021-12-20 20:35:55;2020-08-01 07:50:00;ip-172-20-45-201.ec2.internal;173;
2021-12-20 20:35:55;2020-08-01 07:50:00;ip-172-20-49-41.ec2.internal;111;3163.3
