ts_now;ts_simulator;node;consumption;production
2021-12-15 22:13:56;2020-06-01 11:50:00;ip-172-20-45-201.ec2.internal;158;
2021-12-15 22:13:56;2020-06-01 11:50:00;ip-172-20-49-41.ec2.internal;102;6043.0
2021-12-15 22:13:56;2020-06-01 11:50:00;ip-172-20-58-134.ec2.internal;124;9190.7
2021-12-15 22:13:56;2020-06-01 11:50:00;ip-172-20-61-178.ec2.internal;158;881.0
2021-12-15 22:14:02;2020-06-01 12:00:00;ip-172-20-45-201.ec2.internal;158;
2021-12-15 22:14:02;2020-06-01 12:00:00;ip-172-20-49-41.ec2.internal;102;6584.1
2021-12-15 22:14:02;2020-06-01 12:00:00;ip-172-20-58-134.ec2.internal;124;9157.3
2021-12-15 22:14:02;2020-06-01 12:00:00;ip-172-20-61-178.ec2.internal;158;1816.2
2021-12-15 22:14:08;2020-06-01 12:00:00;ip-172-20-45-201.ec2.internal;137;
2021-12-15 22:14:08;2020-06-01 12:00:00;ip-172-20-49-41.ec2.internal;142;6584.1
2021-12-15 22:14:08;2020-06-01 12:00:00;ip-172-20-58-134.ec2.internal;158;9157.3
2021-12-15 22:14:08;2020-06-01 12:00:00;ip-172-20-61-178.ec2.internal;209;1816.2
2021-12-15 22:14:14;2020-06-01 12:00:00;ip-172-20-45-201.ec2.internal;137;
2021-12-15 22:14:14;2020-06-01 12:00:00;ip-172-20-49-41.ec2.internal;142;6584.1
2021-12-15 22:14:14;2020-06-01 12:00:00;ip-172-20-58-134.ec2.internal;158;9157.3
2021-12-15 22:14:14;2020-06-01 12:00:00;ip-172-20-61-178.ec2.internal;209;1816.2
2021-12-15 22:14:19;2020-06-01 12:00:00;ip-172-20-45-201.ec2.internal;2523;
2021-12-15 22:14:19;2020-06-01 12:00:00;ip-172-20-49-41.ec2.internal;111;6584.1
2021-12-15 22:14:19;2020-06-01 12:00:00;ip-172-20-58-134.ec2.internal;145;9157.3
2021-12-15 22:14:19;2020-06-01 12:00:00;ip-172-20-61-178.ec2.internal;175;1816.2
2021-12-15 22:14:25;2020-06-01 12:00:00;ip-172-20-45-201.ec2.internal;2523;
2021-12-15 22:14:25;2020-06-01 12:00:00;ip-172-20-49-41.ec2.internal;111;6584.1
2021-12-15 22:14:25;2020-06-01 12:00:00;ip-172-20-58-134.ec2.internal;145;9157.3
2021-12-15 22:14:25;2020-06-01 12:00:00;ip-172-20-61-178.ec2.internal;175;1816.2
2021-12-15 22:14:31;2020-06-01 12:00:00;ip-172-20-45-201.ec2.internal;2523;
2021-12-15 22:14:31;2020-06-01 12:00:00;ip-172-20-49-41.ec2.internal;111;6584.1
