I1215 21:14:04.597767       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1215 21:14:04.854879       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-688d6758c6-rr9xh
I1215 21:14:04.854909       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-688d6758c6-rr9xh
I1215 21:14:04.855175       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rr9xh on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1215 21:14:04.855202       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1215 21:14:04.855235       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rr9xh on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1215 21:14:04.855258       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rr9xh on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1215 21:14:04.855269       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rr9xh on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 1 out of 110 Pods.
I1215 21:14:04.855279       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rr9xh on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1215 21:14:04.858181       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1215 21:14:04.858223       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1215 21:14:04.858939       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1215 21:14:04.858970       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1215 21:14:04.858983       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 9,
I1215 21:14:04.859666       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 7,
I1215 21:14:04.867442       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 9,
I1215 21:14:04.868193       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 6,
I1215 21:14:04.868262       1 selector_spreading.go:146] green-k8s-test-688d6758c6-rr9xh -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (10)
