ts_now;ts_simulator;node;consumption;production
2021-12-16 14:42:01;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;154;
2021-12-16 14:42:01;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;93;2272.3
2021-12-16 14:42:01;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;151;1401.1
2021-12-16 14:42:01;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;170;2386.1
2021-12-16 14:42:07;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;145;
2021-12-16 14:42:07;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;140;2272.3
2021-12-16 14:42:07;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;162;1401.1
2021-12-16 14:42:07;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;196;2386.1
2021-12-16 14:42:13;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;145;
2021-12-16 14:42:13;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;140;2272.3
2021-12-16 14:42:13;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;162;1401.1
2021-12-16 14:42:13;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;196;2386.1
2021-12-16 14:42:18;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;150;
2021-12-16 14:42:18;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;1287;2272.3
2021-12-16 14:42:18;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;138;1401.1
2021-12-16 14:42:18;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;170;2386.1
2021-12-16 14:42:24;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;150;
2021-12-16 14:42:24;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;1287;2272.3
2021-12-16 14:42:24;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;138;1401.1
2021-12-16 14:42:24;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;170;2386.1
2021-12-16 14:42:30;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;150;
2021-12-16 14:42:30;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;1287;2272.3
2021-12-16 14:42:30;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;138;1401.1
2021-12-16 14:42:30;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;170;2386.1
2021-12-16 14:42:35;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;143;
2021-12-16 14:42:35;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2117;2272.3
2021-12-16 14:42:35;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;145;1401.1
2021-12-16 14:42:35;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;197;2386.1
2021-12-16 14:42:41;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;143;
2021-12-16 14:42:41;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2117;2272.3
2021-12-16 14:42:41;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;145;1401.1
2021-12-16 14:42:41;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;197;2386.1
2021-12-16 14:42:47;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;143;
2021-12-16 14:42:47;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2117;2272.3
2021-12-16 14:42:47;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;145;1401.1
2021-12-16 14:42:47;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;197;2386.1
2021-12-16 14:42:53;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;130;
2021-12-16 14:42:53;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2097;2272.3
2021-12-16 14:42:53;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;159;1401.1
2021-12-16 14:42:53;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;165;2386.1
2021-12-16 14:42:58;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;130;
2021-12-16 14:42:58;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2097;2272.3
2021-12-16 14:42:58;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;159;1401.1
2021-12-16 14:42:58;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;165;2386.1
2021-12-16 14:43:04;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;160;
2021-12-16 14:43:04;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2129;2272.3
2021-12-16 14:43:04;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;136;1401.1
2021-12-16 14:43:04;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;218;2386.1
2021-12-16 14:43:09;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;160;
2021-12-16 14:43:09;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2129;2272.3
2021-12-16 14:43:09;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;136;1401.1
2021-12-16 14:43:09;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;218;2386.1
2021-12-16 14:43:15;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;160;
2021-12-16 14:43:15;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2129;2272.3
2021-12-16 14:43:15;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;136;1401.1
2021-12-16 14:43:15;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;218;2386.1
2021-12-16 14:43:21;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;170;
2021-12-16 14:43:21;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2121;2272.3
2021-12-16 14:43:21;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;163;1401.1
2021-12-16 14:43:21;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;194;2386.1
2021-12-16 14:43:26;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;170;
2021-12-16 14:43:26;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2121;2272.3
2021-12-16 14:43:26;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;163;1401.1
2021-12-16 14:43:26;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;194;2386.1
2021-12-16 14:43:32;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;170;
2021-12-16 14:43:32;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2121;2272.3
2021-12-16 14:43:32;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;163;1401.1
2021-12-16 14:43:32;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;194;2386.1
2021-12-16 14:43:37;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;152;
2021-12-16 14:43:37;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2107;2272.3
2021-12-16 14:43:37;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;132;1401.1
2021-12-16 14:43:37;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;165;2386.1
2021-12-16 14:43:43;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;152;
2021-12-16 14:43:43;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2107;2272.3
2021-12-16 14:43:43;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;132;1401.1
2021-12-16 14:43:43;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;165;2386.1
2021-12-16 14:43:49;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;140;
2021-12-16 14:43:49;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2106;2272.3
2021-12-16 14:43:49;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;161;1401.1
2021-12-16 14:43:49;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;184;2386.1
2021-12-16 14:43:54;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;140;
2021-12-16 14:43:54;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2106;2272.3
2021-12-16 14:43:54;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;161;1401.1
2021-12-16 14:43:54;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;184;2386.1
2021-12-16 14:44:00;2020-06-01 18:00:00;ip-172-20-45-201.ec2.internal;140;
2021-12-16 14:44:00;2020-06-01 18:00:00;ip-172-20-49-41.ec2.internal;2106;2272.3
2021-12-16 14:44:00;2020-06-01 18:00:00;ip-172-20-58-134.ec2.internal;161;1401.1
2021-12-16 14:44:00;2020-06-01 18:00:00;ip-172-20-61-178.ec2.internal;184;2386.1
2021-12-16 14:44:06;2020-06-01 18:10:00;ip-172-20-45-201.ec2.internal;152;
2021-12-16 14:44:06;2020-06-01 18:10:00;ip-172-20-49-41.ec2.internal;2118;2132.2
2021-12-16 14:44:06;2020-06-01 18:10:00;ip-172-20-58-134.ec2.internal;136;1167.6
2021-12-16 14:44:06;2020-06-01 18:10:00;ip-172-20-61-178.ec2.internal;180;2386.1
2021-12-16 14:44:11;2020-06-01 18:10:00;ip-172-20-45-201.ec2.internal;152;
2021-12-16 14:44:11;2020-06-01 18:10:00;ip-172-20-49-41.ec2.internal;2118;2132.2
2021-12-16 14:44:11;2020-06-01 18:10:00;ip-172-20-58-134.ec2.internal;136;1167.6
2021-12-16 14:44:11;2020-06-01 18:10:00;ip-172-20-61-178.ec2.internal;180;2386.1
2021-12-16 14:44:17;2020-06-01 18:10:00;ip-172-20-45-201.ec2.internal;152;
2021-12-16 14:44:17;2020-06-01 18:10:00;ip-172-20-49-41.ec2.internal;2118;2132.2
2021-12-16 14:44:17;2020-06-01 18:10:00;ip-172-20-58-134.ec2.internal;136;1167.6
2021-12-16 14:44:17;2020-06-01 18:10:00;ip-172-20-61-178.ec2.internal;180;2386.1
2021-12-16 14:44:22;2020-06-01 18:10:00;ip-172-20-45-201.ec2.internal;145;
2021-12-16 14:44:22;2020-06-01 18:10:00;ip-172-20-49-41.ec2.internal;2106;2132.2
2021-12-16 14:44:22;2020-06-01 18:10:00;ip-172-20-58-134.ec2.internal;147;1167.6
2021-12-16 14:44:22;2020-06-01 18:10:00;ip-172-20-61-178.ec2.internal;184;2386.1
2021-12-16 14:44:28;2020-06-01 18:10:00;ip-172-20-45-201.ec2.internal;145;
2021-12-16 14:44:28;2020-06-01 18:10:00;ip-172-20-49-41.ec2.internal;2106;2132.2
2021-12-16 14:44:28;2020-06-01 18:10:00;ip-172-20-58-134.ec2.internal;147;1167.6
2021-12-16 14:44:28;2020-06-01 18:10:00;ip-172-20-61-178.ec2.internal;184;2386.1
2021-12-16 14:44:34;2020-06-01 18:10:00;ip-172-20-45-201.ec2.internal;155;
2021-12-16 14:44:34;2020-06-01 18:10:00;ip-172-20-49-41.ec2.internal;2087;2132.2
2021-12-16 14:44:34;2020-06-01 18:10:00;ip-172-20-58-134.ec2.internal;149;1167.6
2021-12-16 14:44:34;2020-06-01 18:10:00;ip-172-20-61-178.ec2.internal;187;2386.1
2021-12-16 14:44:39;2020-06-01 18:10:00;ip-172-20-45-201.ec2.internal;155;
