I1216 13:42:04.547642       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1216 13:42:05.714604       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-688d6758c6-6vbjb
I1216 13:42:05.721421       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-688d6758c6-6vbjb
I1216 13:42:05.724745       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-6vbjb on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1216 13:42:05.726972       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1216 13:42:05.725643       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-6vbjb on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1216 13:42:05.725666       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-6vbjb on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1216 13:42:05.725682       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-6vbjb on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 1 out of 110 Pods.
I1216 13:42:05.725700       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-6vbjb on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1216 13:42:05.728196       1 resource_allocation.go:84] green-k8s-test-688d6758c6-6vbjb -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1216 13:42:05.728325       1 resource_allocation.go:84] green-k8s-test-688d6758c6-6vbjb -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1216 13:42:05.728528       1 resource_allocation.go:84] green-k8s-test-688d6758c6-6vbjb -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1216 13:42:05.728355       1 resource_allocation.go:84] green-k8s-test-688d6758c6-6vbjb -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 9,
