ts_now;ts_simulator;node;consumption;production
2021-12-17 22:01:04;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;158;
2021-12-17 22:01:04;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;117;271.2
2021-12-17 22:01:04;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;129;450.4
2021-12-17 22:01:04;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;219;1.6
2021-12-17 22:01:10;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;158;
2021-12-17 22:01:10;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;117;271.2
2021-12-17 22:01:10;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;129;450.4
2021-12-17 22:01:10;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;219;1.6
2021-12-17 22:01:16;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;158;
2021-12-17 22:01:16;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;117;271.2
2021-12-17 22:01:16;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;129;450.4
2021-12-17 22:01:16;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;219;1.6
2021-12-17 22:01:21;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;159;
2021-12-17 22:01:21;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;119;271.2
2021-12-17 22:01:21;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;147;450.4
2021-12-17 22:01:21;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;168;1.6
2021-12-17 22:01:27;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;159;
2021-12-17 22:01:27;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;119;271.2
2021-12-17 22:01:27;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;147;450.4
2021-12-17 22:01:27;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;168;1.6
2021-12-17 22:01:32;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;159;
2021-12-17 22:01:32;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;119;401.0
2021-12-17 22:01:32;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;147;650.5
2021-12-17 22:01:32;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;168;17.9
2021-12-17 22:01:38;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;150;
2021-12-17 22:01:38;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;121;401.0
2021-12-17 22:01:38;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;154;650.5
2021-12-17 22:01:38;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;181;17.9
2021-12-17 22:01:44;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;150;
2021-12-17 22:01:44;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;121;401.0
2021-12-17 22:01:44;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;154;650.5
2021-12-17 22:01:44;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;181;17.9
2021-12-17 22:01:49;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;131;
2021-12-17 22:01:49;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;97;401.0
2021-12-17 22:01:49;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;1357;650.5
2021-12-17 22:01:49;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;186;17.9
2021-12-17 22:01:55;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;131;
2021-12-17 22:01:55;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;97;401.0
2021-12-17 22:01:55;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;1357;650.5
2021-12-17 22:01:55;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;186;17.9
2021-12-17 22:02:01;2020-09-22 06:10:00;ip-172-20-45-201.ec2.internal;131;
2021-12-17 22:02:01;2020-09-22 06:10:00;ip-172-20-49-41.ec2.internal;97;521.4
2021-12-17 22:02:01;2020-09-22 06:10:00;ip-172-20-58-134.ec2.internal;1357;867.4
2021-12-17 22:02:01;2020-09-22 06:10:00;ip-172-20-61-178.ec2.internal;186;1.6
2021-12-17 22:02:06;2020-09-22 06:10:00;ip-172-20-45-201.ec2.internal;160;
2021-12-17 22:02:06;2020-09-22 06:10:00;ip-172-20-49-41.ec2.internal;128;521.4
2021-12-17 22:02:06;2020-09-22 06:10:00;ip-172-20-58-134.ec2.internal;2137;867.4
2021-12-17 22:02:06;2020-09-22 06:10:00;ip-172-20-61-178.ec2.internal;203;1.6
2021-12-17 22:02:12;2020-09-22 06:10:00;ip-172-20-45-201.ec2.internal;160;
2021-12-17 22:02:12;2020-09-22 06:10:00;ip-172-20-49-41.ec2.internal;128;521.4
2021-12-17 22:02:12;2020-09-22 06:10:00;ip-172-20-58-134.ec2.internal;2137;867.4
2021-12-17 22:02:12;2020-09-22 06:10:00;ip-172-20-61-178.ec2.internal;203;1.6
2021-12-17 22:02:18;2020-09-22 06:10:00;ip-172-20-45-201.ec2.internal;160;
2021-12-17 22:02:18;2020-09-22 06:10:00;ip-172-20-49-41.ec2.internal;128;521.4
2021-12-17 22:02:18;2020-09-22 06:10:00;ip-172-20-58-134.ec2.internal;2137;867.4
2021-12-17 22:02:18;2020-09-22 06:10:00;ip-172-20-61-178.ec2.internal;203;1.6
2021-12-17 22:02:23;2020-09-22 06:10:00;ip-172-20-45-201.ec2.internal;142;
2021-12-17 22:02:23;2020-09-22 06:10:00;ip-172-20-49-41.ec2.internal;99;521.4
2021-12-17 22:02:23;2020-09-22 06:10:00;ip-172-20-58-134.ec2.internal;2152;867.4
2021-12-17 22:02:23;2020-09-22 06:10:00;ip-172-20-61-178.ec2.internal;183;1.6
2021-12-17 22:02:29;2020-09-22 06:10:00;ip-172-20-45-201.ec2.internal;142;
2021-12-17 22:02:29;2020-09-22 06:10:00;ip-172-20-49-41.ec2.internal;99;521.4
2021-12-17 22:02:29;2020-09-22 06:10:00;ip-172-20-58-134.ec2.internal;2152;867.4
2021-12-17 22:02:29;2020-09-22 06:10:00;ip-172-20-61-178.ec2.internal;183;1.6
2021-12-17 22:02:35;2020-09-22 06:20:00;ip-172-20-45-201.ec2.internal;150;
2021-12-17 22:02:35;2020-09-22 06:20:00;ip-172-20-49-41.ec2.internal;118;648.1
2021-12-17 22:02:35;2020-09-22 06:20:00;ip-172-20-58-134.ec2.internal;2130;1067.5
2021-12-17 22:02:35;2020-09-22 06:20:00;ip-172-20-61-178.ec2.internal;170;12.6
2021-12-17 22:02:40;2020-09-22 06:20:00;ip-172-20-45-201.ec2.internal;150;
2021-12-17 22:02:40;2020-09-22 06:20:00;ip-172-20-49-41.ec2.internal;118;648.1
2021-12-17 22:02:40;2020-09-22 06:20:00;ip-172-20-58-134.ec2.internal;2130;1067.5
2021-12-17 22:02:40;2020-09-22 06:20:00;ip-172-20-61-178.ec2.internal;170;12.6
2021-12-17 22:02:46;2020-09-22 06:20:00;ip-172-20-45-201.ec2.internal;150;
2021-12-17 22:02:46;2020-09-22 06:20:00;ip-172-20-49-41.ec2.internal;118;648.1
2021-12-17 22:02:46;2020-09-22 06:20:00;ip-172-20-58-134.ec2.internal;2130;1067.5
2021-12-17 22:02:46;2020-09-22 06:20:00;ip-172-20-61-178.ec2.internal;170;12.6
2021-12-17 22:02:52;2020-09-22 06:20:00;ip-172-20-45-201.ec2.internal;149;
2021-12-17 22:02:52;2020-09-22 06:20:00;ip-172-20-49-41.ec2.internal;124;648.1
2021-12-17 22:02:52;2020-09-22 06:20:00;ip-172-20-58-134.ec2.internal;2157;1067.5
2021-12-17 22:02:52;2020-09-22 06:20:00;ip-172-20-61-178.ec2.internal;189;12.6
2021-12-17 22:02:57;2020-09-22 06:20:00;ip-172-20-45-201.ec2.internal;149;
2021-12-17 22:02:57;2020-09-22 06:20:00;ip-172-20-49-41.ec2.internal;124;648.1
2021-12-17 22:02:57;2020-09-22 06:20:00;ip-172-20-58-134.ec2.internal;2157;1067.5
2021-12-17 22:02:57;2020-09-22 06:20:00;ip-172-20-61-178.ec2.internal;189;12.6
2021-12-17 22:03:03;2020-09-22 06:30:00;ip-172-20-45-201.ec2.internal;152;
2021-12-17 22:03:03;2020-09-22 06:30:00;ip-172-20-49-41.ec2.internal;118;795.3
2021-12-17 22:03:03;2020-09-22 06:30:00;ip-172-20-58-134.ec2.internal;2162;1301.0
2021-12-17 22:03:03;2020-09-22 06:30:00;ip-172-20-61-178.ec2.internal;198;24.5
2021-12-17 22:03:08;2020-09-22 06:30:00;ip-172-20-45-201.ec2.internal;152;
2021-12-17 22:03:08;2020-09-22 06:30:00;ip-172-20-49-41.ec2.internal;118;795.3
2021-12-17 22:03:08;2020-09-22 06:30:00;ip-172-20-58-134.ec2.internal;2162;1301.0
2021-12-17 22:03:08;2020-09-22 06:30:00;ip-172-20-61-178.ec2.internal;198;24.5
2021-12-17 22:03:14;2020-09-22 06:30:00;ip-172-20-45-201.ec2.internal;152;
2021-12-17 22:03:14;2020-09-22 06:30:00;ip-172-20-49-41.ec2.internal;118;795.3
2021-12-17 22:03:14;2020-09-22 06:30:00;ip-172-20-58-134.ec2.internal;2162;1301.0
2021-12-17 22:03:14;2020-09-22 06:30:00;ip-172-20-61-178.ec2.internal;198;24.5
2021-12-17 22:03:20;2020-09-22 06:30:00;ip-172-20-45-201.ec2.internal;141;
2021-12-17 22:03:20;2020-09-22 06:30:00;ip-172-20-49-41.ec2.internal;120;795.3
2021-12-17 22:03:20;2020-09-22 06:30:00;ip-172-20-58-134.ec2.internal;2028;1301.0
2021-12-17 22:03:20;2020-09-22 06:30:00;ip-172-20-61-178.ec2.internal;180;24.5
2021-12-17 22:03:25;2020-09-22 06:30:00;ip-172-20-45-201.ec2.internal;141;
2021-12-17 22:03:25;2020-09-22 06:30:00;ip-172-20-49-41.ec2.internal;120;795.3
2021-12-17 22:03:25;2020-09-22 06:30:00;ip-172-20-58-134.ec2.internal;2028;1301.0
2021-12-17 22:03:25;2020-09-22 06:30:00;ip-172-20-61-178.ec2.internal;180;24.5
2021-12-17 22:03:31;2020-09-22 06:40:00;ip-172-20-45-201.ec2.internal;141;
2021-12-17 22:03:31;2020-09-22 06:40:00;ip-172-20-49-41.ec2.internal;120;908.3
2021-12-17 22:03:31;2020-09-22 06:40:00;ip-172-20-58-134.ec2.internal;2028;1501.2
2021-12-17 22:03:31;2020-09-22 06:40:00;ip-172-20-61-178.ec2.internal;180;12.6
2021-12-17 22:03:37;2020-09-22 06:40:00;ip-172-20-45-201.ec2.internal;151;
2021-12-17 22:03:37;2020-09-22 06:40:00;ip-172-20-49-41.ec2.internal;118;908.3
2021-12-17 22:03:37;2020-09-22 06:40:00;ip-172-20-58-134.ec2.internal;2160;1501.2
2021-12-17 22:03:37;2020-09-22 06:40:00;ip-172-20-61-178.ec2.internal;196;12.6
2021-12-17 22:03:42;2020-09-22 06:40:00;ip-172-20-45-201.ec2.internal;151;
2021-12-17 22:03:42;2020-09-22 06:40:00;ip-172-20-49-41.ec2.internal;118;908.3
2021-12-17 22:03:42;2020-09-22 06:40:00;ip-172-20-58-134.ec2.internal;2160;1501.2
2021-12-17 22:03:42;2020-09-22 06:40:00;ip-172-20-61-178.ec2.internal;196;12.6
2021-12-17 22:03:48;2020-09-22 06:40:00;ip-172-20-45-201.ec2.internal;131;
2021-12-17 22:03:48;2020-09-22 06:40:00;ip-172-20-49-41.ec2.internal;97;908.3
2021-12-17 22:03:48;2020-09-22 06:40:00;ip-172-20-58-134.ec2.internal;2142;1501.2
2021-12-17 22:03:48;2020-09-22 06:40:00;ip-172-20-61-178.ec2.internal;176;12.6
2021-12-17 22:03:54;2020-09-22 06:40:00;ip-172-20-45-201.ec2.internal;131;
2021-12-17 22:03:54;2020-09-22 06:40:00;ip-172-20-49-41.ec2.internal;97;908.3
