ts_now;ts_simulator;node;consumption;production
2022-01-03 11:41:16;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;170;
2022-01-03 11:41:16;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;133;271.2
2022-01-03 11:41:16;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;165;450.4
2022-01-03 11:41:16;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;189;1.6
2022-01-03 11:41:22;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;200;
2022-01-03 11:41:22;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;111;271.2
2022-01-03 11:41:22;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;164;450.4
2022-01-03 11:41:22;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;201;1.6
2022-01-03 11:41:29;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;200;
2022-01-03 11:41:29;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;111;271.2
2022-01-03 11:41:29;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;164;450.4
2022-01-03 11:41:29;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;201;1.6
2022-01-03 11:41:41;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;152;
2022-01-03 11:41:41;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;135;271.2
2022-01-03 11:41:41;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;142;450.4
2022-01-03 11:41:41;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;167;1.6
2022-01-03 11:41:57;2020-09-22 05:50:00;ip-172-20-45-201.ec2.internal;154;
2022-01-03 11:41:57;2020-09-22 05:50:00;ip-172-20-49-41.ec2.internal;118;271.2
2022-01-03 11:41:57;2020-09-22 05:50:00;ip-172-20-58-134.ec2.internal;180;450.4
2022-01-03 11:41:57;2020-09-22 05:50:00;ip-172-20-61-178.ec2.internal;190;1.6
2022-01-03 11:42:06;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;155;
2022-01-03 11:42:06;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;142;401.0
2022-01-03 11:42:06;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;133;650.5
2022-01-03 11:42:06;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;176;17.9
2022-01-03 11:42:12;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;155;
2022-01-03 11:42:12;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;142;401.0
2022-01-03 11:42:12;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;133;650.5
2022-01-03 11:42:12;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;176;17.9
2022-01-03 11:42:18;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;153;
2022-01-03 11:42:18;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;122;401.0
2022-01-03 11:42:18;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;663;650.5
2022-01-03 11:42:18;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;1303;17.9
2022-01-03 11:42:25;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;153;
2022-01-03 11:42:25;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;122;401.0
2022-01-03 11:42:25;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;663;650.5
2022-01-03 11:42:25;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;1303;17.9
2022-01-03 11:42:31;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;153;
2022-01-03 11:42:31;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;122;401.0
2022-01-03 11:42:31;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;663;650.5
2022-01-03 11:42:31;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;1303;17.9
2022-01-03 11:42:36;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;152;
2022-01-03 11:42:36;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;3497;401.0
2022-01-03 11:42:36;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;3500;650.5
2022-01-03 11:42:36;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;2158;17.9
2022-01-03 11:42:43;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;152;
2022-01-03 11:42:43;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;3497;401.0
2022-01-03 11:42:43;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;3500;650.5
2022-01-03 11:42:43;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;2158;17.9
2022-01-03 11:42:49;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;148;
2022-01-03 11:42:49;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;2664;401.0
2022-01-03 11:42:49;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;2785;650.5
2022-01-03 11:42:49;2020-09-22 06:00:00;ip-172-20-61-178.ec2.internal;2165;17.9
2022-01-03 11:42:58;2020-09-22 06:00:00;ip-172-20-45-201.ec2.internal;148;
2022-01-03 11:42:58;2020-09-22 06:00:00;ip-172-20-49-41.ec2.internal;2664;401.0
2022-01-03 11:42:58;2020-09-22 06:00:00;ip-172-20-58-134.ec2.internal;2785;650.5
