#### 1 Pod ####
I1219 14:03:07.771625       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 14:03:09.175564       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-688d6758c6-rf88f
I1219 14:03:09.175695       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-688d6758c6-rf88f
I1219 14:03:09.175885       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1219 14:03:09.176068       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rf88f on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 1 out of 110 Pods.
I1219 14:03:09.176223       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rf88f on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 14:03:09.176242       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rf88f on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1219 14:03:09.176553       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1219 14:03:09.176260       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rf88f on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 14:03:09.176276       1 predicates.go:908] Schedule Pod default/green-k8s-test-688d6758c6-rf88f on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 14:03:09.177126       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rf88f -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 9,
I1219 14:03:09.177263       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rf88f -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 9,
I1219 14:03:09.177482       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rf88f -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:320 memory:639631360] ,score 6,
I1219 14:03:09.177288       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rf88f -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1219 14:03:09.177687       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rf88f -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1219 14:03:09.177310       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rf88f -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 9,
I1219 14:03:09.177891       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rf88f -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:300 memory:492830720] ,score 7,
I1219 14:03:09.177344       1 resource_allocation.go:84] green-k8s-test-688d6758c6-rf88f -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:200 memory:419430400] ,score 7,
I1219 14:03:09.180964       1 selector_spreading.go:146] green-k8s-test-688d6758c6-rf88f -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (10)
I1219 14:03:09.181157       1 selector_spreading.go:146] green-k8s-test-688d6758c6-rf88f -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (10)
I1219 14:03:09.181534       1 selector_spreading.go:146] green-k8s-test-688d6758c6-rf88f -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (10)
I1219 14:03:09.181728       1 selector_spreading.go:146] green-k8s-test-688d6758c6-rf88f -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (10)
I1219 14:03:09.181876       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-rf88f_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1219 14:03:09.181965       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-rf88f_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1219 14:03:09.182106       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-rf88f_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1219 14:03:09.182240       1 generic_scheduler.go:773] green-k8s-test-688d6758c6-rf88f_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1219 14:03:09.222459       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-rf88f_default -> ip-172-20-49-41.ec2.internal: http://localhost:80, Score: (6)
I1219 14:03:09.222608       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-rf88f_default -> ip-172-20-61-178.ec2.internal: http://localhost:80, Score: (0)
I1219 14:03:09.222625       1 generic_scheduler.go:822] green-k8s-test-688d6758c6-rf88f_default -> ip-172-20-58-134.ec2.internal: http://localhost:80, Score: (10)
