ts_now;ts_simulator;node;consumption;production
2021-12-28 22:04:35;2020-07-15 20:00:00;ip-172-20-45-201.ec2.internal;169;
2021-12-28 22:04:35;2020-07-15 20:00:00;ip-172-20-49-41.ec2.internal;130;156.6
2021-12-28 22:04:35;2020-07-15 20:00:00;ip-172-20-58-134.ec2.internal;154;0.0
2021-12-28 22:04:35;2020-07-15 20:00:00;ip-172-20-61-178.ec2.internal;180;261.0
2021-12-28 22:04:41;2020-07-15 20:00:00;ip-172-20-45-201.ec2.internal;169;
2021-12-28 22:04:41;2020-07-15 20:00:00;ip-172-20-49-41.ec2.internal;130;156.6
2021-12-28 22:04:41;2020-07-15 20:00:00;ip-172-20-58-134.ec2.internal;154;0.0
2021-12-28 22:04:41;2020-07-15 20:00:00;ip-172-20-61-178.ec2.internal;180;261.0
2021-12-28 22:04:46;2020-04-04 15:50:00;ip-172-20-45-201.ec2.internal;169;
2021-12-28 22:04:46;2020-04-04 15:50:00;ip-172-20-49-41.ec2.internal;130;1970.4
2021-12-28 22:04:46;2020-04-04 15:50:00;ip-172-20-58-134.ec2.internal;154;2985.7
2021-12-28 22:04:46;2020-04-04 15:50:00;ip-172-20-61-178.ec2.internal;180;298.3
2021-12-28 22:04:53;2020-04-04 15:50:00;ip-172-20-45-201.ec2.internal;148;
2021-12-28 22:04:53;2020-04-04 15:50:00;ip-172-20-49-41.ec2.internal;107;1970.4
2021-12-28 22:04:53;2020-04-04 15:50:00;ip-172-20-58-134.ec2.internal;155;2985.7
2021-12-28 22:04:53;2020-04-04 15:50:00;ip-172-20-61-178.ec2.internal;176;298.3
2021-12-28 22:04:59;2020-04-04 15:50:00;ip-172-20-45-201.ec2.internal;148;
2021-12-28 22:04:59;2020-04-04 15:50:00;ip-172-20-49-41.ec2.internal;107;1970.4
2021-12-28 22:04:59;2020-04-04 15:50:00;ip-172-20-58-134.ec2.internal;155;2985.7
2021-12-28 22:04:59;2020-04-04 15:50:00;ip-172-20-61-178.ec2.internal;176;298.3
2021-12-28 22:05:05;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;137;
2021-12-28 22:05:05;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;129;1807.9
2021-12-28 22:05:05;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;154;2752.2
2021-12-28 22:05:05;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;232;261.0
2021-12-28 22:05:10;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;137;
2021-12-28 22:05:10;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;129;1807.9
2021-12-28 22:05:10;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;154;2752.2
2021-12-28 22:05:10;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;232;261.0
2021-12-28 22:05:17;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;137;
2021-12-28 22:05:17;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;129;1807.9
2021-12-28 22:05:17;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;154;2752.2
2021-12-28 22:05:17;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;232;261.0
2021-12-28 22:05:23;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;1575;
2021-12-28 22:05:23;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;1549;1807.9
2021-12-28 22:05:23;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;527;2752.2
2021-12-28 22:05:23;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;1562;261.0
2021-12-28 22:05:29;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;1575;
2021-12-28 22:05:29;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;1549;1807.9
2021-12-28 22:05:29;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;527;2752.2
2021-12-28 22:05:29;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;1562;261.0
2021-12-28 22:05:35;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;2315;
2021-12-28 22:05:35;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;2324;1807.9
2021-12-28 22:05:35;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;2522;2752.2
2021-12-28 22:05:35;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;2359;261.0
2021-12-28 22:05:41;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;2315;
2021-12-28 22:05:41;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;2324;1807.9
2021-12-28 22:05:41;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;2522;2752.2
2021-12-28 22:05:41;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;2359;261.0
2021-12-28 22:05:47;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;2315;
2021-12-28 22:05:47;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;2324;1807.9
2021-12-28 22:05:47;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;2522;2752.2
2021-12-28 22:05:47;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;2359;261.0
2021-12-28 22:05:53;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;2323;
2021-12-28 22:05:53;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;2354;1807.9
2021-12-28 22:05:53;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;2374;2752.2
2021-12-28 22:05:53;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;2336;261.0
2021-12-28 22:05:59;2020-04-04 16:00:00;ip-172-20-45-201.ec2.internal;2323;
2021-12-28 22:05:59;2020-04-04 16:00:00;ip-172-20-49-41.ec2.internal;2354;1807.9
2021-12-28 22:05:59;2020-04-04 16:00:00;ip-172-20-58-134.ec2.internal;2374;2752.2
2021-12-28 22:05:59;2020-04-04 16:00:00;ip-172-20-61-178.ec2.internal;2336;261.0
2021-12-28 22:06:04;2020-04-04 16:10:00;ip-172-20-45-201.ec2.internal;2343;
2021-12-28 22:06:04;2020-04-04 16:10:00;ip-172-20-49-41.ec2.internal;2393;1617.4
2021-12-28 22:06:04;2020-04-04 16:10:00;ip-172-20-58-134.ec2.internal;2400;2468.6
2021-12-28 22:06:04;2020-04-04 16:10:00;ip-172-20-61-178.ec2.internal;2365;227.0
2021-12-28 22:06:10;2020-04-04 16:10:00;ip-172-20-45-201.ec2.internal;2343;
2021-12-28 22:06:10;2020-04-04 16:10:00;ip-172-20-49-41.ec2.internal;2393;1617.4
2021-12-28 22:06:10;2020-04-04 16:10:00;ip-172-20-58-134.ec2.internal;2400;2468.6
2021-12-28 22:06:10;2020-04-04 16:10:00;ip-172-20-61-178.ec2.internal;2365;227.0
2021-12-28 22:06:16;2020-04-04 16:10:00;ip-172-20-45-201.ec2.internal;2343;
2021-12-28 22:06:16;2020-04-04 16:10:00;ip-172-20-49-41.ec2.internal;2393;1617.4
2021-12-28 22:06:16;2020-04-04 16:10:00;ip-172-20-58-134.ec2.internal;2400;2468.6
2021-12-28 22:06:16;2020-04-04 16:10:00;ip-172-20-61-178.ec2.internal;2365;227.0
2021-12-28 22:06:22;2020-04-04 16:10:00;ip-172-20-45-201.ec2.internal;2320;
2021-12-28 22:06:22;2020-04-04 16:10:00;ip-172-20-49-41.ec2.internal;2341;1617.4
