ts_now;ts_simulator;node;consumption;production
2021-12-21 21:51:47;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;167;
2021-12-21 21:51:47;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;140;489.7
2021-12-21 21:51:47;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;138;333.6
2021-12-21 21:51:47;2020-10-14 20:00:00;ip-172-20-61-178.ec2.internal;164;383.0
2021-12-21 21:51:53;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;161;
2021-12-21 21:51:53;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;128;489.7
2021-12-21 21:51:53;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;164;333.6
2021-12-21 21:51:53;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;189;482.5
2021-12-21 21:51:58;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;161;
2021-12-21 21:51:58;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;128;489.7
2021-12-21 21:51:58;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;164;333.6
2021-12-21 21:51:58;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;189;482.5
2021-12-21 21:52:04;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;187;
2021-12-21 21:52:04;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;1179;469.6
2021-12-21 21:52:04;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;163;300.2
2021-12-21 21:52:04;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;191;482.5
2021-12-21 21:52:10;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;187;
2021-12-21 21:52:10;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;1179;469.6
2021-12-21 21:52:10;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;163;300.2
2021-12-21 21:52:10;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;191;482.5
2021-12-21 21:52:15;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;187;
2021-12-21 21:52:15;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;1179;469.6
2021-12-21 21:52:15;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;163;300.2
2021-12-21 21:52:15;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;191;482.5
2021-12-21 21:52:21;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;161;
2021-12-21 21:52:21;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;2155;469.6
2021-12-21 21:52:21;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;143;300.2
2021-12-21 21:52:21;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;187;482.5
2021-12-21 21:52:26;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;161;
2021-12-21 21:52:26;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;2155;469.6
2021-12-21 21:52:26;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;143;300.2
2021-12-21 21:52:26;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;187;482.5
2021-12-21 21:52:32;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;161;
2021-12-21 21:52:32;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;2155;469.6
2021-12-21 21:52:32;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;143;300.2
2021-12-21 21:52:32;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;187;482.5
2021-12-21 21:52:38;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;184;
2021-12-21 21:52:38;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;2148;469.6
2021-12-21 21:52:38;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;163;300.2
2021-12-21 21:52:38;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;185;482.5
2021-12-21 21:52:43;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;184;
2021-12-21 21:52:43;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;2148;469.6
2021-12-21 21:52:43;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;163;300.2
2021-12-21 21:52:43;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;185;482.5
2021-12-21 21:52:49;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;166;
2021-12-21 21:52:49;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;2158;469.6
2021-12-21 21:52:49;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;160;300.2
2021-12-21 21:52:49;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;171;482.5
2021-12-21 21:52:54;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;166;
2021-12-21 21:52:54;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;2158;469.6
2021-12-21 21:52:54;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;160;300.2
2021-12-21 21:52:54;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;171;482.5
2021-12-21 21:53:00;2020-07-15 06:00:00;ip-172-20-45-201.ec2.internal;166;
2021-12-21 21:53:00;2020-07-15 06:00:00;ip-172-20-49-41.ec2.internal;2158;469.6
2021-12-21 21:53:00;2020-07-15 06:00:00;ip-172-20-58-134.ec2.internal;160;300.2
2021-12-21 21:53:00;2020-07-15 06:00:00;ip-172-20-61-178.ec2.internal;171;482.5
2021-12-21 21:53:06;2020-07-15 06:10:00;ip-172-20-45-201.ec2.internal;160;
2021-12-21 21:53:06;2020-07-15 06:10:00;ip-172-20-49-41.ec2.internal;2133;752.2
2021-12-21 21:53:06;2020-07-15 06:10:00;ip-172-20-58-134.ec2.internal;160;450.4
2021-12-21 21:53:06;2020-07-15 06:10:00;ip-172-20-61-178.ec2.internal;193;803.3
2021-12-21 21:53:11;2020-07-15 06:10:00;ip-172-20-45-201.ec2.internal;160;
2021-12-21 21:53:11;2020-07-15 06:10:00;ip-172-20-49-41.ec2.internal;2133;752.2
2021-12-21 21:53:11;2020-07-15 06:10:00;ip-172-20-58-134.ec2.internal;160;450.4
