ts_now;ts_simulator;node;consumption;production
2021-12-28 19:49:01;2020-07-15 10:50:00;ip-172-20-45-201.ec2.internal;157;
2021-12-28 19:49:01;2020-07-15 10:50:00;ip-172-20-49-41.ec2.internal;123;3061.3
2021-12-28 19:49:01;2020-07-15 10:50:00;ip-172-20-58-134.ec2.internal;159;3286.0
2021-12-28 19:49:01;2020-07-15 10:50:00;ip-172-20-61-178.ec2.internal;180;1816.2
2021-12-28 19:49:07;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;155;
2021-12-28 19:49:07;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;130;489.7
2021-12-28 19:49:07;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;152;333.6
2021-12-28 19:49:07;2020-07-15 10:50:00;ip-172-20-61-178.ec2.internal;188;1816.2
2021-12-28 19:49:12;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;155;
2021-12-28 19:49:12;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;130;489.7
2021-12-28 19:49:12;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;152;333.6
2021-12-28 19:49:12;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;188;482.5
2021-12-28 19:49:19;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;159;
2021-12-28 19:49:19;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;98;489.7
2021-12-28 19:49:19;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;152;333.6
2021-12-28 19:49:19;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;189;482.5
2021-12-28 19:49:24;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;159;
2021-12-28 19:49:24;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;98;489.7
2021-12-28 19:49:24;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;152;333.6
2021-12-28 19:49:24;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;189;482.5
2021-12-28 19:49:31;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;159;
2021-12-28 19:49:31;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;98;489.7
2021-12-28 19:49:31;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;152;333.6
2021-12-28 19:49:31;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;189;482.5
2021-12-28 19:49:38;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;157;
2021-12-28 19:49:38;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;124;489.7
2021-12-28 19:49:38;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;149;333.6
2021-12-28 19:49:38;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;177;482.5
2021-12-28 19:49:44;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;157;
2021-12-28 19:49:44;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;124;489.7
2021-12-28 19:49:44;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;149;333.6
2021-12-28 19:49:44;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;177;482.5
