I1221 20:51:55.224870       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1221 20:51:56.670512       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-9ldqc
I1221 20:51:56.670639       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-9ldqc
I1221 20:51:56.670829       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1221 20:51:56.670923       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-9ldqc on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1221 20:51:56.671117       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-9ldqc on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1221 20:51:56.671702       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-9ldqc on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1221 20:51:56.671930       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1221 20:51:56.673875       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-9ldqc on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1221 20:51:56.674053       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-9ldqc on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1221 20:51:56.675069       1 resource_allocation.go:84] green-k8s-test-65bb774986-9ldqc -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:629145600] ,score 9,
I1221 20:51:56.675380       1 resource_allocation.go:84] green-k8s-test-65bb774986-9ldqc -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:629145600] ,score 6,
I1221 20:51:56.675552       1 resource_allocation.go:84] green-k8s-test-65bb774986-9ldqc -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 9,
I1221 20:51:56.675705       1 resource_allocation.go:84] green-k8s-test-65bb774986-9ldqc -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 6,
I1221 20:51:56.675824       1 resource_allocation.go:84] green-k8s-test-65bb774986-9ldqc -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1221 20:51:56.675980       1 resource_allocation.go:84] green-k8s-test-65bb774986-9ldqc -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1221 20:51:56.676112       1 resource_allocation.go:84] green-k8s-test-65bb774986-9ldqc -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1221 20:51:56.676215       1 resource_allocation.go:84] green-k8s-test-65bb774986-9ldqc -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1221 20:51:56.676389       1 selector_spreading.go:146] green-k8s-test-65bb774986-9ldqc -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (10)
