ts_now;ts_simulator;node;consumption;production
2021-12-26 11:16:35;2020-09-22 14:30:00;ip-172-20-45-201.ec2.internal;165;
2021-12-26 11:16:35;2020-09-22 14:30:00;ip-172-20-49-41.ec2.internal;149;2223.4
2021-12-26 11:16:35;2020-09-22 14:30:00;ip-172-20-58-134.ec2.internal;198;2902.3
2021-12-26 11:16:35;2020-09-22 14:30:00;ip-172-20-61-178.ec2.internal;177;803.3
2021-12-26 11:16:41;2020-09-22 14:30:00;ip-172-20-45-201.ec2.internal;165;
2021-12-26 11:16:41;2020-09-22 14:30:00;ip-172-20-49-41.ec2.internal;149;2223.4
2021-12-26 11:16:41;2020-09-22 14:30:00;ip-172-20-58-134.ec2.internal;198;2902.3
2021-12-26 11:16:41;2020-09-22 14:30:00;ip-172-20-61-178.ec2.internal;177;803.3
2021-12-26 11:16:47;2020-09-22 14:30:00;ip-172-20-45-201.ec2.internal;165;
2021-12-26 11:16:47;2020-09-22 14:30:00;ip-172-20-49-41.ec2.internal;149;2223.4
2021-12-26 11:16:47;2020-09-22 14:30:00;ip-172-20-58-134.ec2.internal;198;2902.3
2021-12-26 11:16:47;2020-09-22 14:30:00;ip-172-20-61-178.ec2.internal;177;803.3
2021-12-26 11:16:53;2020-09-22 14:30:00;ip-172-20-45-201.ec2.internal;178;
2021-12-26 11:16:53;2020-09-22 14:30:00;ip-172-20-49-41.ec2.internal;121;2223.4
2021-12-26 11:16:53;2020-09-22 14:30:00;ip-172-20-58-134.ec2.internal;146;2902.3
2021-12-26 11:16:53;2020-09-22 14:30:00;ip-172-20-61-178.ec2.internal;177;803.3
2021-12-26 11:16:59;2020-09-22 14:30:00;ip-172-20-45-201.ec2.internal;178;
2021-12-26 11:16:59;2020-09-22 14:30:00;ip-172-20-49-41.ec2.internal;121;2223.4
2021-12-26 11:16:59;2020-09-22 14:30:00;ip-172-20-58-134.ec2.internal;146;2902.3
2021-12-26 11:16:59;2020-09-22 14:30:00;ip-172-20-61-178.ec2.internal;177;803.3
2021-12-26 11:17:05;2020-09-22 14:30:00;ip-172-20-45-201.ec2.internal;190;
2021-12-26 11:17:05;2020-09-22 14:30:00;ip-172-20-49-41.ec2.internal;145;2223.4
