ts_now;ts_simulator;node;consumption;production
2021-12-28 16:49:08;2020-09-23 18:00:00;ip-172-20-45-201.ec2.internal;155;
2021-12-28 16:49:08;2020-09-23 18:00:00;ip-172-20-49-41.ec2.internal;134;322.9
2021-12-28 16:49:08;2020-09-23 18:00:00;ip-172-20-58-134.ec2.internal;147;0.0
2021-12-28 16:49:08;2020-09-23 18:00:00;ip-172-20-61-178.ec2.internal;180;538.1
2021-12-28 16:49:15;2020-09-23 18:00:00;ip-172-20-45-201.ec2.internal;155;
2021-12-28 16:49:15;2020-09-23 18:00:00;ip-172-20-49-41.ec2.internal;134;322.9
2021-12-28 16:49:15;2020-09-23 18:00:00;ip-172-20-58-134.ec2.internal;147;0.0
2021-12-28 16:49:15;2020-09-23 18:00:00;ip-172-20-61-178.ec2.internal;180;538.1
2021-12-28 16:49:23;2020-09-23 18:00:00;ip-172-20-45-201.ec2.internal;152;
2021-12-28 16:49:23;2020-09-23 18:00:00;ip-172-20-49-41.ec2.internal;112;322.9
2021-12-28 16:49:23;2020-09-23 18:00:00;ip-172-20-58-134.ec2.internal;152;0.0
2021-12-28 16:49:23;2020-09-23 18:00:00;ip-172-20-61-178.ec2.internal;196;538.1
2021-12-28 16:49:29;2020-09-23 18:00:00;ip-172-20-45-201.ec2.internal;152;
2021-12-28 16:49:29;2020-09-23 18:00:00;ip-172-20-49-41.ec2.internal;112;322.9
2021-12-28 16:49:29;2020-09-23 18:00:00;ip-172-20-58-134.ec2.internal;152;0.0
2021-12-28 16:49:29;2020-09-23 18:00:00;ip-172-20-61-178.ec2.internal;196;538.1
2021-12-28 16:49:36;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;157;
2021-12-28 16:49:36;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;129;489.7
2021-12-28 16:49:36;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;166;333.6
2021-12-28 16:49:36;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;168;482.5
2021-12-28 16:49:46;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;157;
2021-12-28 16:49:46;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;129;489.7
2021-12-28 16:49:46;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;166;333.6
2021-12-28 16:49:46;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;168;482.5
2021-12-28 16:49:52;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;156;
2021-12-28 16:49:52;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;110;489.7
2021-12-28 16:49:52;2020-07-15 05:50:00;ip-172-20-58-134.ec2.internal;152;333.6
2021-12-28 16:49:52;2020-07-15 05:50:00;ip-172-20-61-178.ec2.internal;199;482.5
2021-12-28 16:49:57;2020-07-15 05:50:00;ip-172-20-45-201.ec2.internal;156;
2021-12-28 16:49:57;2020-07-15 05:50:00;ip-172-20-49-41.ec2.internal;110;489.7
